customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,join_date,customer_tier,loyalty_points
CUST_0001,James,Jensen,orobinson@example.org,420.322.5297,"PSC 3621, Box 4968, APO AE 69570",Howellfort,NE,79247,US,2024-05-28,Basic,204
CUST_0002,Michelle,Elliott,masseyanthony@example.com,705.872.7012,"17011 Thomas Hills Suite 815, North Leahhaven, ID 50186",New Tiffany,ND,67863,US,2025-05-27,Gold,2006
CUST_0003,Jennifer,Farmer,steintheresa@example.com,4338346409,"68214 Navarro Trace Suite 719, Janetburgh, CA 96110",East Angela,ID,08786,US,2025-11-06,Silver,1143
CUST_0004,Kristina,Underwood,lpayne@example.org,6673761068,"2821 Wiley Circle Apt. 216, Brittanytown, WY 79552",North Michaelside,OR,47038,US,2025-09-07,Basic,4467
CUST_0005,Michelle,Klein,caitlinarroyo@example.com,001-450-939-0660x19873,"53690 Bianca Skyway Apt. 902, Torresstad, IN 41531",New Joshua,IA,00866,US,2025-08-24,Basic,4837
CUST_0006,Ashley,Ortiz,cathytaylor@example.net,(324)964-9860x83970,"13639 Mark Mill Suite 128, Benjaminhaven, LA 70384",Lake Danielberg,MN,56220,US,2024-09-21,Platinum,260
CUST_0007,Tracy,Lewis,garciakurt@example.org,001-537-716-2978x61175,"782 Mcpherson Square, South Tiffany, IL 23771",South Jeremybury,WI,22448,US,2025-09-15,Basic,767
CUST_0008,Eric,Lin,justinmorrison@example.com,8682615754,"PSC 9680, Box 7129, APO AE 90057",North Haileyberg,WY,33686,US,2024-06-28,Silver,1905
CUST_0009,Erin,Moore,yorkjulie@example.net,906.518.5998,"USCGC Marquez, FPO AP 04341",Dawnview,CA,05900,US,2025-06-23,Basic,4597
CUST_0010,Michael,Brown,kayala@example.com,789.691.7185x274,"USCGC Diaz, FPO AA 04861",Lake Patrick,OR,55092,US,2024-12-29,Silver,4464
CUST_0011,Jeffery,Hardy,gilberttrevor@example.org,894-667-6917x34274,"98122 Wise Neck, Port Lesliefort, KS 48832",South Brian,PW,45774,US,2024-12-24,Platinum,1805
CUST_0012,Samuel,Tate,richmondmegan@example.org,001-537-760-1581,"9264 Tammy Inlet Apt. 825, West Aprilmouth, MH 72319",Perryborough,DC,14177,US,2025-01-11,Platinum,4827
CUST_0013,Alice,Guzman,daniellopez@example.com,(845)719-7154x15978,"1869 Campos Plaza, West John, PA 21795",Duketon,PW,83188,US,2024-10-03,Gold,53
CUST_0014,Suzanne,Duarte,pereztina@example.net,(299)661-0859x4462,"389 Garcia Parks Suite 248, Stephensonton, MO 58118",West Kevinmouth,MS,10164,US,2025-02-08,Silver,3462
CUST_0015,Matthew,Davis,smithjoshua@example.com,001-436-944-5609x3181,"USCGC Hansen, FPO AA 42570",Santoshaven,NV,18353,US,2025-05-14,Gold,2276
CUST_0016,Alexis,Travis,vanessa26@example.com,368-795-9151x3070,"676 Yvonne Knolls, New James, MS 46797",Hartberg,UT,17809,US,2025-11-11,Silver,1763
CUST_0017,Kelly,York,kstuart@example.com,(841)622-8292,"768 Howe Ports Apt. 176, Lynchview, GU 73231",Mariachester,KY,92903,US,2023-07-23,Gold,837
CUST_0018,Jesse,Jones,jacob13@example.com,+1-400-824-3410x05096,"66876 Cook View Apt. 088, East Billymouth, OH 36412",Ericstad,NE,94086,US,2025-10-24,Basic,3112
CUST_0019,Deborah,Lam,kroberts@example.org,374.266.8284,"301 Carlson Falls, West Stephanie, IA 21898",New Elizabeth,GU,51619,US,2024-04-20,Basic,2940
CUST_0020,Duane,Smith,mrichards@example.net,+1-527-542-8183x070,"Unit 6880 Box 5422, DPO AP 80316",Port Brittneyfurt,UT,74872,US,2023-05-06,Gold,4945
CUST_0021,Marissa,Castro,trogers@example.net,(571)749-0276x938,"7743 Martin Tunnel, Port Edwardton, NH 82443",East Susan,VT,45874,US,2023-07-05,Gold,355
CUST_0022,Julia,Diaz,fmartinez@example.com,8033098916,"290 Wallace Corners Apt. 452, Williamburgh, NC 92548",Port Johnchester,MH,74872,US,2022-11-18,Platinum,4392
CUST_0023,Jamie,Aguilar,woodjason@example.net,8013565769,"3129 Alvarez Route Apt. 737, South Adambury, RI 17881",North Thomasland,DE,79492,US,2024-04-20,Basic,3100
CUST_0024,Shawn,Blake,imurphy@example.net,200-356-6109x178,"720 Edward Park, South Thomas, PA 79720",Lake Melissa,MT,21301,US,2023-04-27,Basic,4522
CUST_0025,Justin,Alvarado,pcarson@example.com,4585616763,"162 Roy Curve Apt. 837, Lindatown, TX 59911",Lisahaven,WI,07796,US,2023-05-19,Gold,2962
CUST_0026,Leah,Rodriguez,henry60@example.org,689.473.3564x80790,"273 Hanson Cape, Martinezchester, MI 68662",New Joshuafurt,NC,29707,US,2024-08-15,Silver,569
CUST_0027,Teresa,Thomas,ljordan@example.com,+1-682-388-2486x956,"88839 Stokes Shore, Thomaston, MS 53789",Bentonfurt,VI,57928,US,2023-10-18,Basic,1866
CUST_0028,Eugene,Smith,perkinswilliam@example.com,2698539237,"2146 Jacqueline Points Apt. 886, Port Cynthia, FM 63577",West Grantland,MA,33762,US,2025-05-02,Gold,653
CUST_0029,Matthew,Morgan,rochaadam@example.com,001-993-909-4590x350,"41920 Johnson Key Suite 805, South Brittany, AL 99319",Veronicafort,WA,71675,US,2025-07-28,Silver,827
CUST_0030,Morgan,Riggs,brandy40@example.org,(737)708-6791x126,"4509 Cruz Squares Suite 729, Portertown, HI 04527",Bergerfort,WA,74658,US,2023-08-16,Platinum,2277
CUST_0031,Cassandra,Garcia,esweeney@example.net,812-745-4015x37651,"90725 Brooks Neck Suite 892, Hughesfort, HI 46917",Kellyville,VI,58236,US,2024-12-13,Platinum,2988
CUST_0032,Michael,Gray,douglasjessica@example.org,626-783-4734,"3324 Daniel Dale Apt. 737, Sherrimouth, OK 35941",Josephbury,AL,44041,US,2024-02-23,Silver,3032
CUST_0033,Dean,Miller,waynegarcia@example.com,(800)751-7841x783,"002 Proctor Mountain, South Davidmouth, NE 95423",Leslieberg,NH,69969,US,2025-10-08,Gold,1716
CUST_0034,Jared,Martinez,philip20@example.net,6014606521,"413 Farley Turnpike, New Staceyfurt, PA 05956",Joseton,KY,42326,US,2023-06-01,Gold,584
CUST_0035,Stephanie,Miller,gregory25@example.net,001-671-371-4414,"035 Young Hill, Oliviaview, TX 58632",Port Sandy,KY,59996,US,2024-02-20,Silver,4375
CUST_0036,Alyssa,Khan,amy54@example.net,516.606.0540,"4215 Kenneth Common Apt. 232, West Bonnie, PA 57849",Padillafurt,GA,40824,US,2025-04-05,Silver,1338
CUST_0037,Kimberly,Stevens,tracyhayes@example.net,467-342-8979x880,"26541 White Extensions, Grayville, MH 68659",Farrellberg,AL,30290,US,2024-05-13,Platinum,3108
CUST_0038,Brandy,Walters,zgomez@example.net,269.546.2606x489,"46671 Charles Course Apt. 575, Gonzalezton, AK 81849",Lopezberg,SC,75036,US,2023-10-15,Gold,4562
CUST_0039,Duane,Booker,heather78@example.com,771-930-2369x5512,"64301 Hays Junctions, West Jillianfurt, KY 73827",Hannamouth,GA,32462,US,2024-02-22,Silver,2656
CUST_0040,Meghan,Hendricks,kurt50@example.com,895-807-5821,"USS Yu, FPO AE 22319",New Morganfort,PR,08057,US,2023-03-24,Basic,1876
CUST_0041,Michael,Warren,yross@example.org,(406)602-7803x9512,"311 Davis Creek Suite 365, Port Robinview, PA 83898",Christystad,OK,22615,US,2025-04-27,Basic,2584
CUST_0042,Jennifer,Munoz,brian25@example.com,5269098644,"379 Joshua Ferry, Port Ryan, MP 79807",Wilsonberg,WA,05172,US,2024-09-07,Platinum,2193
CUST_0043,Maria,Higgins,david66@example.org,001-285-486-6300x4800,"7388 David Port, Williamstown, WV 79655",Wendyville,WI,65289,US,2025-05-08,Basic,1728
CUST_0044,Bridget,Rivas,joe02@example.org,701.527.7390x65642,"607 Turner Drive Apt. 205, Carterburgh, GU 26473",North Kyleland,MO,42642,US,2023-11-27,Gold,1741
CUST_0045,Tony,Williams,meaganandrade@example.org,(224)389-3485x56600,"68679 Boyer Views, North Adammouth, AS 28118",Edwardsfurt,WV,79964,US,2024-10-31,Platinum,3241
CUST_0046,Patricia,Cole,dcarpenter@example.com,291-588-6748x8626,"9608 Fischer Ridges, Silvamouth, DC 88543",Bookerburgh,ME,05922,US,2024-11-14,Platinum,1170
CUST_0047,Mary,Brown,zcannon@example.net,924.537.3704,"1403 Cabrera Camp, North Christina, VA 20168",Port Samanthaville,IL,23466,US,2025-02-25,Gold,1143
CUST_0048,Brenda,Dominguez,erin05@example.com,7892319802,"81339 Anthony Cape Suite 296, West Stephen, CO 86666",Ericaborough,RI,79857,US,2025-05-18,Silver,4598
CUST_0049,Misty,Parker,psheppard@example.net,001-770-625-1876x142,"4011 Beasley Corners Apt. 508, Lake Benjaminbury, AZ 07072",Lake Christopherside,PA,79764,US,2023-05-07,Gold,4788
CUST_0050,Denise,Coleman,danielsbarbara@example.com,528-404-9069x07188,"8472 Brian Station, West Jessica, NM 15203",North Wendy,CT,46578,US,2025-03-03,Platinum,4780
CUST_0051,Michelle,Holloway,kellyjames@example.net,(394)360-4598x9755,"6378 Michael Port, Hendricksbury, VI 85727",Reginaldhaven,PW,96629,US,2022-11-28,Platinum,2965
CUST_0052,Vernon,Bender,jonesronald@example.com,(353)639-5702x97978,"Unit 9318 Box 7136, DPO AA 22019",South Jamesberg,SC,54312,US,2025-03-25,Silver,1133
CUST_0053,Heather,Greene,ahunter@example.com,332.852.9692,"0448 Burton Trail Apt. 800, East Beverlyton, MI 55143",South David,WI,12526,US,2025-07-27,Platinum,744
CUST_0054,Sandra,Torres,petersonpeter@example.com,297-648-6010,"366 Angela Drive Apt. 325, New Christopher, IL 41957",Raymondfurt,ME,63624,US,2024-04-23,Basic,898
CUST_0055,Kenneth,Ray,michelle66@example.net,001-384-251-5280,"6316 Leroy Run, Lake Veronica, MD 65166",Wyattmouth,NJ,78257,US,2024-03-07,Silver,1310
CUST_0056,Katherine,Jennings,katelynmitchell@example.net,001-764-842-1307x9154,"1150 Jennifer Tunnel, Butlerchester, MS 55845",Bowmanshire,WV,89588,US,2023-10-06,Platinum,4885
CUST_0057,Jeffrey,Howe,aleonard@example.org,(300)263-2289,"655 Jackson Motorway Apt. 466, South Aliciaview, WV 16123",Lake Elizabethbury,LA,40450,US,2025-03-10,Basic,3152
CUST_0058,Wayne,Gardner,jjackson@example.org,+1-227-919-0596,"Unit 4880 Box 1746, DPO AA 50033",Ruizland,NM,17243,US,2025-04-09,Platinum,4881
